|	Key                 |	Value
126    |	          the ceiling with a            |	{ broom. }
127    |	         ceiling with a broom.          |	{ But }
128    |	           with a broom. But            |	{ even }
129    |	           a broom. But even            |	{ so, }
130    |	          broom. But even so,           |	{ it's }
131    |	           But even so, it's            |	{ not }
132    |	           even so, it's not            |	{ the }
133    |	           so, it's not the             |	{ house }
134    |	          it's not the house            |	{ we'd }
135    |	          not the house we'd            |	{ thought }
136    |	        the house we'd thought          |	{ we'd }
137    |	        house we'd thought we'd         |	{ get. }
138    |	        we'd thought we'd get.          |	{ We }
139    |	         thought we'd get. We           |	{ had }
140    |	           we'd get. We had             |	{ to }
141    |	            get. We had to              |	{ leave }
142    |	            We had to leave             |	{ the , fast. }
143    |	           had to leave the             |	{ flat }
144    |	           to leave the flat            |	{ on }
145    |	           leave the flat on            |	{ Loomis }
146    |	          the flat on Loomis            |	{ quick. }
147    |	         flat on Loomis quick.          |	{ The }
148    |	         on Loomis quick. The           |	{ water }
149    |	        Loomis quick. The water         |	{ pipes }
150    |	        quick. The water pipes          |	{ broke }
151    |	         The water pipes broke          |	{ and }
152    |	         water pipes broke and          |	{ the }
153    |	          pipes broke and the           |	{ landlord }
154    |	        broke and the landlord          |	{ wouldn't }
155    |	       and the landlord wouldn't        |	{ fix }
156    |	       the landlord wouldn't fix        |	{ them }
157    |	      landlord wouldn't fix them        |	{ because }
158    |	       wouldn't fix them because        |	{ the }
159    |	         fix them because the           |	{ house }
160    |	        them because the house          |	{ was }
161    |	         because the house was          |	{ too }
162    |	           the house was too            |	{ old. }
163    |	          house was too old.            |	{ We }
164    |	            was too old. We             |	{ had }
165    |	            too old. We had             |	{ to }
166    |	            old. We had to              |	{ leave }
167    |	          had to leave fast.            |	{ We }
168    |	           to leave fast. We            |	{ were }
169    |	          leave fast. We were           |	{ using }
170    |	          fast. We were using           |	{ the }
171    |	           We were using the            |	{ washroom }
172    |	        were using the washroom         |	{ next }
173    |	        using the washroom next         |	{ door }
174    |	        the washroom next door          |	{ and }
175    |	        washroom next door and          |	{ carrying }
176    |	        next door and carrying          |	{ water }
177    |	        door and carrying water         |	{ over }
178    |	        and carrying water over         |	{ in }
179    |	        carrying water over in          |	{ empty }
180    |	          water over in empty           |	{ milk }
181    |	          over in empty milk            |	{ gallons. }
182    |	        in empty milk gallons.          |	{ That's }
183    |	      empty milk gallons. That's        |	{ why }
184    |	       milk gallons. That's why         |	{ Mama }
185    |	       gallons. That's why Mama         |	{ and }
186    |	          That's why Mama and           |	{ Papa }
187    |	           why Mama and Papa            |	{ looked }
188    |	         Mama and Papa looked           |	{ for }
189    |	          and Papa looked for           |	{ a }
190    |	           Papa looked for a            |	{ house, }
191    |	          looked for a house,           |	{ and }
192    |	           for a house, and             |	{ that's }
193    |	          a house, and that's           |	{ why }
194    |	         house, and that's why          |	{ we }
195    |	           and that's why we            |	{ moved }
196    |	          that's why we moved           |	{ into }
197    |	           why we moved into            |	{ the }
198    |	           we moved into the            |	{ house }
199    |	         moved into the house           |	{ on }
200    |	           into the house on            |	{ Mango }
201    |	          the house on Mango            |	{ Street, , Street }
202    |	        house on Mango Street,          |	{ far }
203    |	         on Mango Street, far           |	{ away, }
204    |	        Mango Street, far away,         |	{ on }
205    |	         Street, far away, on           |	{ the }
206    |	           far away, on the             |	{ other }
207    |	          away, on the other            |	{ side }
208    |	           on the other side            |	{ of }
209    |	           the other side of            |	{ town. }
210    |	          other side of town.           |	{ They }
211    |	          side of town. They            |	{ always }
212    |	         of town. They always           |	{ told }
213    |	        town. They always told          |	{ us }
214    |	          They always told us           |	{ that }
215    |	          always told us that           |	{ one }
216    |	           told us that one             |	{ day }
217    |	            us that one day             |	{ we }
218    |	            that one day we             |	{ would }
219    |	           one day we would             |	{ move }
220    |	           day we would move            |	{ into }
221    |	          we would move into            |	{ a }
222    |	           would move into a            |	{ house, }
223    |	          move into a house,            |	{ a }
224    |	            into a house, a             |	{ real }
225    |	            a house, a real             |	{ house }
226    |	          house, a real house           |	{ that }
227    |	           a real house that            |	{ would }
228    |	         real house that would          |	{ be }
229    |	          house that would be           |	{ ours }
230    |	          that would be ours            |	{ for }
231    |	           would be ours for            |	{ always }
232    |	          be ours for always            |	{ so }
233    |	          ours for always so            |	{ we }
234    |	           for always so we             |	{ wouldn't }
235    |	         always so we wouldn't          |	{ have }
236    |	          so we wouldn't have           |	{ to }
237    |	          we wouldn't have to           |	{ move , tell }
238    |	         wouldn't have to move          |	{ each }
239    |	           have to move each            |	{ year. }
240    |	          to move each year.            |	{ And }
241    |	          move each year. And           |	{ our }
242    |	          each year. And our            |	{ house }
243    |	          year. And our house           |	{ would }
244    |	          And our house would           |	{ have }
245    |	         our house would have           |	{ running }
246    |	       house would have running         |	{ water }
247    |	       would have running water         |	{ and }
248    |	        have running water and          |	{ pipes }
249    |	        running water and pipes         |	{ that }
250    |	         water and pipes that           |	{ worked. }
251    |	        and pipes that worked.          |	{ And }
252    |	        pipes that worked. And          |	{ inside }
253    |	        that worked. And inside         |	{ it }
254    |	         worked. And inside it          |	{ would }
255    |	          And inside it would           |	{ have }
256    |	         inside it would have           |	{ real }
257    |	          it would have real            |	{ stairs, }
258    |	        would have real stairs,         |	{ not }
259    |	         have real stairs, not          |	{ hallway }
260    |	       real stairs, not hallway         |	{ stairs, }
261    |	      stairs, not hallway stairs,       |	{ but }
262    |	        not hallway stairs, but         |	{ stairs }
263    |	      hallway stairs, but stairs        |	{ inside }
264    |	       stairs, but stairs inside        |	{ like }
265    |	        but stairs inside like          |	{ the }
266    |	        stairs inside like the          |	{ houses }
267    |	        inside like the houses          |	{ on }
268    |	          like the houses on            |	{ TV. }
269    |	           the houses on TV.            |	{ And }
270    |	           houses on TV. And            |	{ we'd }
271    |	            on TV. And we'd             |	{ have }
272    |	           TV. And we'd have            |	{ a }
273    |	            And we'd have a             |	{ basement }
274    |	         we'd have a basement           |	{ and }
275    |	          have a basement and           |	{ at }
276    |	           a basement and at            |	{ least }
277    |	         basement and at least          |	{ three }
278    |	          and at least three            |	{ washrooms }
279    |	       at least three washrooms         |	{ so }
280    |	       least three washrooms so         |	{ when }
281    |	        three washrooms so when         |	{ we }
282    |	         washrooms so when we           |	{ took }
283    |	            so when we took             |	{ a }
284    |	            when we took a              |	{ bath }
285    |	            we took a bath              |	{ we }
286    |	            took a bath we              |	{ wouldn't }
287    |	          a bath we wouldn't            |	{ have }
288    |	         bath we wouldn't have          |	{ to }
289    |	         wouldn't have to tell          |	{ everybody. }
290    |	        have to tell everybody.         |	{ Our }
291    |	        to tell everybody. Our          |	{ house }
292    |	       tell everybody. Our house        |	{ would }
293    |	      everybody. Our house would        |	{ be }
294    |	          Our house would be            |	{ white }
295    |	         house would be white           |	{ with }
296    |	          would be white with           |	{ trees }
297    |	          be white with trees           |	{ around }
298    |	        white with trees around         |	{ it, }
299    |	         with trees around it,          |	{ a }
300    |	          trees around it, a            |	{ great }
301    |	          around it, a great            |	{ big }
302    |	            it, a great big             |	{ yard }
303    |	           a great big yard             |	{ and }
304    |	          great big yard and            |	{ grass }
305    |	          big yard and grass            |	{ growing }
306    |	        yard and grass growing          |	{ without }
307    |	       and grass growing without        |	{ a }
308    |	        grass growing without a         |	{ fence. }
309    |	       growing without a fence.         |	{ This }
310    |	         without a fence. This          |	{ was }
311    |	           a fence. This was            |	{ the }
312    |	          fence. This was the           |	{ house }
313    |	          This was the house            |	{ Papa }
314    |	          was the house Papa            |	{ talked }
315    |	         the house Papa talked          |	{ about }
316    |	        house Papa talked about         |	{ when }
317    |	        Papa talked about when          |	{ he }
318    |	         talked about when he           |	{ held }
319    |	          about when he held            |	{ a }
320    |	            when he held a              |	{ lottery }
321    |	           he held a lottery            |	{ ticket }
322    |	         held a lottery ticket          |	{ and }
323    |	         a lottery ticket and           |	{ this }
324    |	        lottery ticket and this         |	{ was }
325    |	          ticket and this was           |	{ the }
326    |	           and this was the             |	{ house }
327    |	          this was the house            |	{ Mama }
328    |	          was the house Mama            |	{ dreamed }
329    |	        the house Mama dreamed          |	{ up }
330    |	         house Mama dreamed up          |	{ in }
331    |	          Mama dreamed up in            |	{ the }
332    |	           dreamed up in the            |	{ stories }
333    |	           up in the stories            |	{ she }
334    |	          in the stories she            |	{ told }
335    |	         the stories she told           |	{ us }
336    |	          stories she told us           |	{ before }
337    |	          she told us before            |	{ we }
338    |	           told us before we            |	{ went }
339    |	           us before we went            |	{ to }
340    |	           before we went to            |	{ bed. }
341    |	            we went to bed.             |	{ But }
342    |	           went to bed. But             |	{ the }
343    |	            to bed. But the             |	{ house }
344    |	          bed. But the house            |	{ on }
345    |	           But the house on             |	{ Mango }
346    |	          Mango Street is not           |	{ the }
347    |	           Street is not the            |	{ way }
348    |	            is not the way              |	{ they }
349    |	           not the way they             |	{ told }
350    |	           the way they told            |	{ it }
351    |	           way they told it             |	{ at }
352    |	            they told it at             |	{ all. }
353    |	            told it at all.             |	{ It's }
354    |	            it at all. It's             |	{ small }
355    |	          at all. It's small            |	{ and }
356    |	          all. It's small and           |	{ red }
357    |	          It's small and red            |	{ with }
358    |	          small and red with            |	{ tight }
359    |	          and red with tight            |	{ steps }
360    |	         red with tight steps           |	{ in }
361    |	          with tight steps in           |	{ front }
362    |	         tight steps in front           |	{ and }
363    |	          steps in front and            |	{ windows }
364    |	         in front and windows           |	{ so }
365    |	         front and windows so           |	{ small }
366    |	         and windows so small           |	{ you'd }
367    |	        windows so small you'd          |	{ think }
368    |	         so small you'd think           |	{ they }
369    |	        small you'd think they          |	{ were }
370    |	         you'd think they were          |	{ holding }
371    |	        think they were holding         |	{ their }
372    |	        they were holding their         |	{ breath. }
373    |	      were holding their breath.        |	{ Bricks }
374    |	     holding their breath. Bricks       |	{ are }
375    |	       their breath. Bricks are         |	{ crumbling }
376    |	     breath. Bricks are crumbling       |	{ in }
377    |	        Bricks are crumbling in         |	{ places, }
378    |	       are crumbling in places,         |	{ and }
379    |	       crumbling in places, and         |	{ the }
380    |	          in places, and the            |	{ front }
381    |	         places, and the front          |	{ door }
382    |	          and the front door            |	{ is }
383    |	           the front door is            |	{ so }
384    |	           front door is so             |	{ swollen }
385    |	          door is so swollen            |	{ you }
386    |	           is so swollen you            |	{ have }
387    |	          so swollen you have           |	{ to }
388    |	          swollen you have to           |	{ push }
389    |	           you have to push             |	{ hard }
390    |	           have to push hard            |	{ to }
391    |	            to push hard to             |	{ get }
392    |	           push hard to get             |	{ in. }
393    |	            hard to get in.             |	{ There }
394    |	           to get in. There             |	{ is }
395    |	           get in. There is             |	{ no }
396    |	            in. There is no             |	{ front }
397    |	           There is no front            |	{ yard, }
398    |	           is no front yard,            |	{ only }
399    |	          no front yard, only           |	{ four }
400    |	         front yard, only four          |	{ little }
401    |	        yard, only four little          |	{ elms }
402    |	         only four little elms          |	{ the }
403    |	         four little elms the           |	{ city }
404    |	         little elms the city           |	{ planted }
405    |	         elms the city planted          |	{ by }
406    |	          the city planted by           |	{ the }
407    |	          city planted by the           |	{ curb. }
408    |	         planted by the curb.           |	{ Out }
409    |	           by the curb. Out             |	{ back }
410    |	          the curb. Out back            |	{ is }
411    |	           curb. Out back is            |	{ a }
412    |	             Out back is a              |	{ small }
413    |	            back is a small             |	{ garage }
414    |	           is a small garage            |	{ for }
415    |	          a small garage for            |	{ the }
416    |	         small garage for the           |	{ car }
417    |	          garage for the car            |	{ we }
418    |	            for the car we              |	{ don't }
419    |	           the car we don't             |	{ own }
420    |	           car we don't own             |	{ yet }
421    |	           we don't own yet             |	{ and }
422    |	           don't own yet and            |	{ a }
423    |	             own yet and a              |	{ small }
424    |	            yet and a small             |	{ yard }
425    |	           and a small yard             |	{ that }
426    |	           a small yard that            |	{ looks }
427    |	         small yard that looks          |	{ smaller }
428    |	        yard that looks smaller         |	{ between }
429    |	      that looks smaller between        |	{ the }
430    |	       looks smaller between the        |	{ two }
431    |	        smaller between the two         |	{ buildings }
432    |	       between the two buildings        |	{ on }
433    |	         the two buildings on           |	{ either }
434    |	        two buildings on either         |	{ side. }
435    |	       buildings on either side.        |	{ There }
436    |	         on either side. There          |	{ are }
437    |	        either side. There are          |	{ stairs }
438    |	        side. There are stairs          |	{ in }
439    |	          There are stairs in           |	{ our }
440    |	           are stairs in our            |	{ house, }
441    |	         stairs in our house,           |	{ but }
442    |	           in our house, but            |	{ they're }
443    |	        our house, but they're          |	{ ordinary }
444    |	      house, but they're ordinary       |	{ hallway }
445    |	     but they're ordinary hallway       |	{ stairs, }
446    |	   they're ordinary hallway stairs,     |	{ and }
447    |	     ordinary hallway stairs, and       |	{ the }
448    |	        hallway stairs, and the         |	{ house }
449    |	         stairs, and the house          |	{ has }
450    |	           and the house has            |	{ only }
451    |	          the house has only            |	{ one }
452    |	          house has only one            |	{ washroom. }
453    |	        has only one washroom.          |	{ Everybody }
454    |	     only one washroom. Everybody       |	{ has }
455    |	      one washroom. Everybody has       |	{ to }
456    |	      washroom. Everybody has to        |	{ share }
457    |	        Everybody has to share          |	{ a }
458    |	            has to share a              |	{ bedroom--Mama }
459    |	       to share a bedroom--Mama         |	{ and }
460    |	       share a bedroom--Mama and        |	{ Papa, }
461    |	       a bedroom--Mama and Papa,        |	{ Carlos }
462    |	    bedroom--Mama and Papa, Carlos      |	{ and }
463    |	         and Papa, Carlos and           |	{ Kiki, }
464    |	        Papa, Carlos and Kiki,          |	{ me }
465    |	          Carlos and Kiki, me           |	{ and }
466    |	           and Kiki, me and             |	{ Nenny. }
467    |	          Kiki, me and Nenny.           |	{ Once }
468    |	          me and Nenny. Once            |	{ when }
469    |	         and Nenny. Once when           |	{ we }
470    |	          Nenny. Once when we           |	{ were }
471    |	           Once when we were            |	{ living }
472    |	          when we were living           |	{ on }
473    |	           we were living on            |	{ Loomis, }
474    |	        were living on Loomis,          |	{ a }
475    |	          living on Loomis, a           |	{ nun }
476    |	           on Loomis, a nun             |	{ from }
477    |	          Loomis, a nun from            |	{ my }
478    |	             a nun from my              |	{ school }
479    |	          nun from my school            |	{ passed }
480    |	         from my school passed          |	{ by }
481    |	          my school passed by           |	{ and }
482    |	         school passed by and           |	{ saw }
483    |	           passed by and saw            |	{ me }
484    |	             by and saw me              |	{ playing }
485    |	          and saw me playing            |	{ out }
486    |	          saw me playing out            |	{ front. }
487    |	         me playing out front.          |	{ The }
488    |	        playing out front. The          |	{ laundromat }
489    |	       out front. The laundromat        |	{ downstairs }
490    |	   front. The laundromat downstairs     |	{ had }
491    |	     The laundromat downstairs had      |	{ been }
492    |	    laundromat downstairs had been      |	{ boarded }
493    |	      downstairs had been boarded       |	{ up }
494    |	          had been boarded up           |	{ because }
495    |	        been boarded up because         |	{ it }
496    |	         boarded up because it          |	{ had }
497    |	           up because it had            |	{ been }
498    |	          because it had been           |	{ robbed }
499    |	          it had been robbed            |	{ two }
500    |	          had been robbed two           |	{ days }
501    |	         been robbed two days           |	{ before }
502    |	        robbed two days before          |	{ and }
503    |	          two days before and           |	{ the }
504    |	          days before and the           |	{ owner }
505    |	         before and the owner           |	{ had }
506    |	           and the owner had            |	{ painted }
507    |	         the owner had painted          |	{ on }
508    |	         owner had painted on           |	{ the }
509    |	          had painted on the            |	{ wood }
510    |	          painted on the wood           |	{ YES }
511    |	            on the wood YES             |	{ WE'RE }
512    |	          the wood YES WE'RE            |	{ OPEN }
513    |	          wood YES WE'RE OPEN           |	{ so }
514    |	           YES WE'RE OPEN so            |	{ as }
515    |	           WE'RE OPEN so as             |	{ not }
516    |	            OPEN so as not              |	{ to }
517    |	             so as not to               |	{ lose }
518    |	            as not to lose              |	{ business. }
519    |	         not to lose business.          |	{ Where }
520    |	        to lose business. Where         |	{ do }
521    |	        lose business. Where do         |	{ you }
522    |	        business. Where do you          |	{ live? }
523    |	          Where do you live?            |	{ she }
524    |	           do you live? she             |	{ asked. }
525    |	         you live? she asked.           |	{ There, }
526    |	        live? she asked. There,         |	{ I }
527    |	          she asked. There, I           |	{ said }
528    |	         asked. There, I said           |	{ pointing }
529    |	        There, I said pointing          |	{ up }
530    |	          I said pointing up            |	{ to }
531    |	          said pointing up to           |	{ the }
532    |	          pointing up to the            |	{ third }
533    |	            up to the third             |	{ floor. }
534    |	          to the third floor.           |	{ You }
535    |	         the third floor. You           |	{ live }
536    |	         third floor. You live          |	{ there? }
537    |	        floor. You live there?          |	{ There. }
538    |	        You live there? There.          |	{ I }
539    |	         live there? There. I           |	{ had }
540    |	          there? There. I had           |	{ to }
541    |	            There. I had to             |	{ look }
542    |	             I had to look              |	{ to , back }
543    |	            had to look to              |	{ where }
544    |	           to look to where             |	{ she }
545    |	           look to where she            |	{ pointed--the }
546    |	       to where she pointed--the        |	{ third }
547    |	     where she pointed--the third       |	{ floor, }
548    |	     she pointed--the third floor,      |	{ the }
549    |	     pointed--the third floor, the      |	{ paint }
550    |	        third floor, the paint          |	{ peeling, }
551    |	       floor, the paint peeling,        |	{ wooden }
552    |	       the paint peeling, wooden        |	{ bars }
553    |	      paint peeling, wooden bars        |	{ Papa }
554    |	       peeling, wooden bars Papa        |	{ had }
555    |	         wooden bars Papa had           |	{ nailed }
556    |	         bars Papa had nailed           |	{ on }
557    |	          Papa had nailed on            |	{ the }
558    |	           had nailed on the            |	{ windows }
559    |	         nailed on the windows          |	{ so }
560    |	           on the windows so            |	{ we }
561    |	           the windows so we            |	{ wouldn't }
562    |	        windows so we wouldn't          |	{ fall }
563    |	          so we wouldn't fall           |	{ out. }
564    |	         we wouldn't fall out.          |	{ You }
565    |	        wouldn't fall out. You          |	{ live }
566    |	          fall out. You live            |	{ there? }
567    |	         out. You live there?           |	{ The }
568    |	          You live there? The           |	{ way }
569    |	          live there? The way           |	{ she }
570    |	          there? The way she            |	{ said }
571    |	           The way she said             |	{ it }
572    |	            way she said it             |	{ made }
573    |	           she said it made             |	{ me }
574    |	            said it made me             |	{ feel }
575    |	            it made me feel             |	{ like }
576    |	           made me feel like            |	{ nothing. }
577    |	         me feel like nothing.          |	{ There. }
578    |	       feel like nothing. There.        |	{ I }
579    |	        like nothing. There. I          |	{ lived }
580    |	        nothing. There. I lived         |	{ there. }
581    |	         There. I lived there.          |	{ I }
582    |	           I lived there. I             |	{ nodded. }
583    |	        lived there. I nodded.          |	{ I }
584    |	          there. I nodded. I            |	{ knew }
585    |	           I nodded. I knew             |	{ then }
586    |	          nodded. I knew then           |	{ I }
587    |	             I knew then I              |	{ had }
588    |	            knew then I had             |	{ to }
589    |	             then I had to              |	{ have }
590    |	             I had to have              |	{ a }
591    |	             had to have a              |	{ house. }
592    |	           to have a house.             |	{ A }
593    |	            have a house. A             |	{ real }
594    |	            a house. A real             |	{ house. }
595    |	         house. A real house.           |	{ One }
596    |	           A real house. One            |	{ I }
597    |	           real house. One I            |	{ could }
598    |	          house. One I could            |	{ point }
599    |	           One I could point            |	{ to. }
600    |	           I could point to.            |	{ But }
601    |	          could point to. But           |	{ this }
602    |	          point to. But this            |	{ isn't }
603    |	          to. But this isn't            |	{ it. }
604    |	          But this isn't it.            |	{ The }
605    |	          this isn't it. The            |	{ house }
606    |	          isn't it. The house           |	{ on }
607    |	           it. The house on             |	{ Mango }
608    |	         on Mango Street isn't          |	{ it. }
609    |	        Mango Street isn't it.          |	{ For }
610    |	         Street isn't it. For           |	{ the }
611    |	           isn't it. For the            |	{ time }
612    |	           it. For the time             |	{ being, }
613    |	          For the time being,           |	{ Mama }
614    |	         the time being, Mama           |	{ says. }
615    |	        time being, Mama says.          |	{ Temporary, }
616    |	     being, Mama says. Temporary,       |	{ says }
617    |	      Mama says. Temporary, says        |	{ Papa. }
618    |	      says. Temporary, says Papa.       |	{ But }
619    |	       Temporary, says Papa. But        |	{ I }
620    |	           says Papa. But I             |	{ know }
621    |	           Papa. But I know             |	{ how }
622    |	            But I know how              |	{ those }
623    |	           I know how those             |	{ things }
624    |	         know how those things          |	{ go. }
625    |	         how those things go.           |	{ Hairs }
626    |	        those things go. Hairs          |	{ Everybody }
627    |	      things go. Hairs Everybody        |	{ in }
628    |	        go. Hairs Everybody in          |	{ our }
629    |	        Hairs Everybody in our          |	{ family }
630    |	        Everybody in our family         |	{ has }
631    |	           in our family has            |	{ different }
632    |	       our family has different         |	{ hair. }
633    |	      family has different hair.        |	{ My }
634    |	        has different hair. My          |	{ Papa's }
635    |	       different hair. My Papa's        |	{ hair }
636    |	         hair. My Papa's hair           |	{ is }
637    |	           My Papa's hair is            |	{ like }
638    |	          Papa's hair is like           |	{ a }
639    |	            hair is like a              |	{ broom, }
640    |	           is like a broom,             |	{ all }
641    |	           like a broom, all            |	{ up }
642    |	            a broom, all up             |	{ in }
643    |	           broom, all up in             |	{ the }
644    |	             all up in the              |	{ air. }
645    |	            up in the air.              |	{ And }
646    |	            in the air. And             |	{ me, }
647    |	           the air. And me,             |	{ my }
648    |	            air. And me, my             |	{ hair }
649    |	            And me, my hair             |	{ is }
650    |	            me, my hair is              |	{ lazy. }
651    |	           my hair is lazy.             |	{ It }
652    |	           hair is lazy. It             |	{ never }
653    |	           is lazy. It never            |	{ obeys }
654    |	         lazy. It never obeys           |	{ barrettes }
655    |	       It never obeys barrettes         |	{ or }
656    |	       never obeys barrettes or         |	{ bands. }
657    |	       obeys barrettes or bands.        |	{ Carlos' }
658    |	      barrettes or bands. Carlos'       |	{ hair }
659    |	        or bands. Carlos' hair          |	{ is }
660    |	        bands. Carlos' hair is          |	{ thick }
661    |	         Carlos' hair is thick          |	{ and }
662    |	           hair is thick and            |	{ straight. }
663    |	        is thick and straight.          |	{ He }
664    |	        thick and straight. He          |	{ doesn't }
665    |	       and straight. He doesn't         |	{ need }
666    |	       straight. He doesn't need        |	{ to }
667    |	          He doesn't need to            |	{ comb }
668    |	         doesn't need to comb           |	{ it. }
669    |	           need to comb it.             |	{ Nenny's }
670    |	          to comb it. Nenny's           |	{ hair }
671    |	         comb it. Nenny's hair          |	{ is }
672    |	          it. Nenny's hair is           |	{ slippery--slides }
673    |	   Nenny's hair is slippery--slides     |	{ out }
674    |	     hair is slippery--slides out       |	{ of }
675    |	      is slippery--slides out of        |	{ your }
676    |	     slippery--slides out of your       |	{ hand. }
677    |	           out of your hand.            |	{ And }
678    |	           of your hand. And            |	{ Kiki, }
679    |	         your hand. And Kiki,           |	{ who }
680    |	          hand. And Kiki, who           |	{ is }
681    |	           And Kiki, who is             |	{ the }
