|	Key                 |	Value
56     |	               Baby, make it to me                |	{ Again , Again }
57     |	               make it to me Again                |	{ and , and }
58     |	               it to me Again and                 |	{ again, , again, }
59     |	             to me Again and again,               |	{ again, , again, }
60     |	           me Again and again, again,             |	{ again, , again, }
61     |	         Again and again, again, again,           |	{ again, , again, , again, , again, }
62     |	         and again, again, again, again,          |	{ again , again , again , again }
63     |	        again, again, again, again, again         |	{ Never , Never , Never , Never }
64     |	        again, again, again, again Never          |	{ stop , stop, , stop , stop, }
65     |	         again, again, again Never stop           |	{ Again , Again }
66     |	          again, again Never stop Again           |	{ and , and }
67     |	           again Never stop Again and             |	{ again, , again, }
68     |	           Never stop Again and again,            |	{ again, , again, }
69     |	          stop Again and again, again,            |	{ again, , again, }
70     |	         again, again, again Never stop,          |	{ oh , oh }
71     |	           again, again Never stop, oh            |	{ He , They }
72     |	             again Never stop, oh He              |	{ never }
73     |	             Never stop, oh He never              |	{ really }
74     |	            stop, oh He never really              |	{ saw }
75     |	             oh He never really saw               |	{ me }
76     |	             He never really saw me               |	{ Or }
77     |	             never really saw me Or               |	{ waited }
78     |	             really saw me Or waited              |	{ when }
79     |	              saw me Or waited when               |	{ we }
80     |	              me Or waited when we                |	{ were }
81     |	             Or waited when we were               |	{ hooking }
82     |	           waited when we were hooking            |	{ up }
83     |	             when we were hooking up              |	{ Yeah, }
84     |	            we were hooking up Yeah,              |	{ he'd }
85     |	           were hooking up Yeah, he'd             |	{ a }
86     |	             hooking up Yeah, he'd a              |	{ never }
87     |	              up Yeah, he'd a never               |	{ last }
88     |	             Yeah, he'd a never last              |	{ Last }
89     |	             he'd a never last Last               |	{ week }
90     |	             a never last Last week               |	{ when }
91     |	            never last Last week when             |	{ I }
92     |	              last Last week when I               |	{ was }
93     |	              Last week when I was                |	{ sad }
94     |	               week when I was sad                |	{ You }
95     |	               when I was sad You                 |	{ said }
96     |	               I was sad You said                 |	{ that }
97     |	              was sad You said that               |	{ you }
98     |	              sad You said that you               |	{ knew }
99     |	             You said that you knew               |	{ My }
100    |	              said that you knew My               |	{ eyes }
101    |	              that you knew My eyes               |	{ change }
102    |	             you knew My eyes change              |	{ from }
103    |	            knew My eyes change from              |	{ kinda }
104    |	            My eyes change from kinda             |	{ green }
105    |	          eyes change from kinda green            |	{ To }
106    |	           change from kinda green To             |	{ kind }
107    |	            from kinda green To kind              |	{ blue, }
108    |	            kinda green To kind blue,             |	{ heya }
109    |	            green To kind blue, heya              |	{ When }
110    |	             To kind blue, heya When              |	{ you're }
111    |	           kind blue, heya When you're            |	{ 'round }
112    |	          blue, heya When you're 'round           |	{ I }
113    |	            heya When you're 'round I             |	{ lose }
114    |	            again Never stop, oh They             |	{ tell }
115    |	            Never stop, oh They tell              |	{ me }
116    |	              stop, oh They tell me               |	{ if }
117    |	               oh They tell me if                 |	{ I }
118    |	                They tell me if I                 |	{ leave }
119    |	               tell me if I leave                 |	{ him }
120    |	                me if I leave him                 |	{ Baby, }
121    |	              if I leave him Baby,                |	{ would }
122    |	             I leave him Baby, would              |	{ you }
123    |	            leave him Baby, would you             |	{ be }
124    |	             him Baby, would you be               |	{ there? }
125    |	            Baby, would you be there?             |	{ 'Cause }
126    |	           would you be there? 'Cause             |	{ maybe }
127    |	           you be there? 'Cause maybe             |	{ you }
128    |	           be there? 'Cause maybe you             |	{ could }
129    |	          there? 'Cause maybe you could           |	{ Be }
130    |	            'Cause maybe you could Be             |	{ m-m-mine }
131    |	           maybe you could Be m-m-mine            |	{ all }
132    |	            you could Be m-m-mine all             |	{ the }
133    |	            could Be m-m-mine all the             |	{ t-t-time }
134    |	          Be m-m-mine all the t-t-time            |	{ I'm }
135    |	          m-m-mine all the t-t-time I'm           |	{ beautiful }
136    |	         all the t-t-time I'm beautiful           |	{ in }
137    |	          the t-t-time I'm beautiful in           |	{ my }
138    |	          t-t-time I'm beautiful in my            |	{ way }
139    |	             I'm beautiful in my way              |	{ Cause }
140    |	            beautiful in my way Cause             |	{ God }
141    |	               in my way Cause God                |	{ makes }
142    |	             my way Cause God makes               |	{ no }
143    |	             way Cause God makes no               |	{ mistakes }
144    |	           Cause God makes no mistakes            |	{ I'm }
145    |	            God makes no mistakes I'm             |	{ on }
146    |	            makes no mistakes I'm on              |	{ the }
147    |	             no mistakes I'm on the               |	{ right }
148    |	            mistakes I'm on the right             |	{ track }
149    |	             I'm on the right track               |	{ Baby }
150    |	             on the right track Baby              |	{ I }
151    |	             the right track Baby I               |	{ was }
152    |	             right track Baby I was               |	{ born }
153    |	              track Baby I was born               |	{ this }
154    |	              Baby I was born this                |	{ way. }
155    |	              I was born this way.                |	{ One }
156    |	             was born this way. One               |	{ look }
157    |	             born this way. One look              |	{ and }
158    |	             this way. One look and               |	{ I'm }
159    |	              way. One look and I'm               |	{ done }
160    |	              One look and I'm done               |	{ One }
161    |	              look and I'm done One               |	{ glance }
162    |	             and I'm done One glance              |	{ from }
163    |	            I'm done One glance from              |	{ your }
164    |	            done One glance from your             |	{ eyes }
165    |	            One glance from your eyes             |	{ And }
166    |	            glance from your eyes And             |	{ I'm }
167    |	             from your eyes And I'm               |	{ captivated }
168    |	          your eyes And I'm captivated            |	{ The }
169    |	           eyes And I'm captivated The            |	{ taste }
170    |	          And I'm captivated The taste            |	{ of }
171    |	           I'm captivated The taste of            |	{ your }
172    |	          captivated The taste of your            |	{ skin }
173    |	             The taste of your skin               |	{ The }
174    |	             taste of your skin The               |	{ warmth }
175    |	             of your skin The warmth              |	{ of }
176    |	             your skin The warmth of              |	{ your }
177    |	             skin The warmth of your              |	{ hungry }
178    |	            The warmth of your hungry             |	{ lips }
179    |	           warmth of your hungry lips             |	{ Has }
180    |	             of your hungry lips Has              |	{ me }
181    |	             your hungry lips Has me              |	{ so }
182    |	              hungry lips Has me so               |	{ taken }
183    |	              lips Has me so taken                |	{ and }
184    |	               Has me so taken and                |	{ I }
185    |	                me so taken and I                 |	{ Love }
186    |	               so taken and I Love                |	{ the }
187    |	              taken and I Love the                |	{ way }
188    |	               and I Love the way                 |	{ you , you }
189    |	               I Love the way you                 |	{ can , can }
190    |	              Love the way you can                |	{ make , make }
191    |	              the way you can make                |	{ me , me }
192    |	               way you can make me                |	{ dance , dance }
193    |	              you can make me dance               |	{ From , From }
194    |	             can make me dance From               |	{ miles , miles }
195    |	            make me dance From miles              |	{ away , away }
196    |	            me dance From miles away              |	{ When , When }
197    |	           dance From miles away When             |	{ I'm , I'm }
198    |	            From miles away When I'm              |	{ with , with }
199    |	            miles away When I'm with              |	{ you , you }
200    |	             away When I'm with you               |	{ I'm , I'm }
201    |	              When I'm with you I'm               |	{ so , never }
202    |	               I'm with you I'm so                |	{ sedated }
203    |	             with you I'm so sedated              |	{ I'm }
204    |	             you I'm so sedated I'm               |	{ captivated }
205    |	          I'm so sedated I'm captivated           |	{ by }
206    |	          so sedated I'm captivated by            |	{ you }
207    |	          sedated I'm captivated by you           |	{ You're }
208    |	          I'm captivated by you You're            |	{ just }
209    |	          captivated by you You're just           |	{ like }
210    |	             by you You're just like              |	{ the }
211    |	            you You're just like the              |	{ wind }
212    |	            You're just like the wind             |	{ 'cuz }
213    |	             just like the wind 'cuz              |	{ Everything }
214    |	          like the wind 'cuz Everything           |	{ moves }
215    |	         the wind 'cuz Everything moves           |	{ away }
216    |	         wind 'cuz Everything moves away          |	{ when }
217    |	         'cuz Everything moves away when          |	{ you're }
218    |	        Everything moves away when you're         |	{ around }
219    |	          moves away when you're around           |	{ it }
220    |	           away when you're around it             |	{ The }
221    |	            when you're around it The             |	{ sun }
222    |	            you're around it The sun              |	{ is }
223    |	              around it The sun is                |	{ just }
224    |	               it The sun is just                 |	{ like }
225    |	              The sun is just like                |	{ the }
226    |	              sun is just like the                |	{ sound }
227    |	             is just like the sound               |	{ of }
228    |	             just like the sound of               |	{ your }
229    |	             like the sound of your               |	{ voice }
230    |	             the sound of your voice              |	{ in }
231    |	             sound of your voice in               |	{ the }
232    |	              of your voice in the                |	{ morning }
233    |	            your voice in the morning             |	{ When }
234    |	            voice in the morning When             |	{ you }
235    |	             in the morning When you              |	{ light }
236    |	           the morning When you light             |	{ my }
237    |	            morning When you light my             |	{ world }
238    |	             When you light my world              |	{ up }
239    |	              you light my world up               |	{ and }
240    |	              light my world up and               |	{ I }
241    |	                my world up and I                 |	{ Love }
242    |	               world up and I Love                |	{ the }
243    |	                up and I Love the                 |	{ way }
244    |	             I'm with you I'm never               |	{ jaded, }
245    |	            with you I'm never jaded,             |	{ I'm }
246    |	            you I'm never jaded, I'm              |	{ captivated }
247    |	         I'm never jaded, I'm captivated          |	{ Ooh }
248    |	         never jaded, I'm captivated Ooh          |	{ ooh }
249    |	          jaded, I'm captivated Ooh ooh           |	{ ohh }
250    |	           I'm captivated Ooh ooh ohh             |	{ oh }
251    |	            captivated Ooh ooh ohh oh             |	{ oh }
252    |	                Ooh ooh ohh oh oh                 |	{ oh , oh , oh }
253    |	                ooh ohh oh oh oh                  |	{ Ooh , oooh , Silicone, }
254    |	                ohh oh oh oh Ooh                  |	{ ooh }
255    |	                oh oh oh Ooh ooh                  |	{ ohh }
256    |	                oh oh Ooh ooh ohh                 |	{ oh }
257    |	                oh Ooh ooh ohh oh                 |	{ oh }
258    |	                ohh oh oh oh oooh                 |	{ oh }
259    |	                oh oh oh oooh oh                  |	{ oh }
260    |	                oh oh oooh oh oh                  |	{ oooh , ooh }
261    |	               oh oooh oh oh oooh                 |	{ oh }
262    |	               oooh oh oh oooh oh                 |	{ oh }
263    |	                oh oooh oh oh ooh                 |	{ ooh }
264    |	               oooh oh oh ooh ooh                 |	{ ooh }
265    |	                oh oh ooh ooh ooh                 |	{ ooh }
266    |	               oh ooh ooh ooh ooh                 |	{ I, }
267    |	               ooh ooh ooh ooh I,                 |	{ need }
268    |	               ooh ooh ooh I, need                |	{ somebody }
269    |	            ooh ooh I, need somebody              |	{ who }
270    |	            ooh I, need somebody who              |	{ calls }
271    |	           I, need somebody who calls             |	{ my }
272    |	           need somebody who calls my             |	{ name }
273    |	           somebody who calls my name             |	{ When }
274    |	             who calls my name When               |	{ clouds }
275    |	            calls my name When clouds             |	{ are }
276    |	             my name When clouds are              |	{ smokin }
277    |	           name When clouds are smokin            |	{ up }
278    |	            When clouds are smokin up             |	{ my }
279    |	             clouds are smokin up my              |	{ way }
280    |	              are smokin up my way                |	{ You }
281    |	              smokin up my way You                |	{ get }
282    |	                up my way You get                 |	{ me }
283    |	                my way You get me                 |	{ through }
284    |	             way You get me through               |	{ these }
285    |	            You get me through these              |	{ ch-changing , ch-changing }
286    |	        get me through these ch-changing          |	{ skies , skies }
287    |	       me through these ch-changing skies         |	{ I, , Give }
288    |	       through these ch-changing skies I,         |	{ don't }
289    |	        these ch-changing skies I, don't          |	{ wanna }
290    |	        ch-changing skies I, don't wanna          |	{ be }
291    |	             skies I, don't wanna be              |	{ afraid }
292    |	            I, don't wanna be afraid              |	{ again }
293    |	           don't wanna be afraid again            |	{ It's }
294    |	           wanna be afraid again It's             |	{ just }
295    |	            be afraid again It's just             |	{ that }
296    |	           afraid again It's just that            |	{ I }
297    |	             again It's just that I               |	{ could }
298    |	             It's just that I could               |	{ use }
299    |	              just that I could use               |	{ a }
300    |	               that I could use a                 |	{ friend }
301    |	              I could use a friend                |	{ You }
302    |	             could use a friend You               |	{ get }
303    |	              use a friend You get                |	{ me }
304    |	               a friend You get me                |	{ through }
305    |	            friend You get me through             |	{ these }
306    |	      through these ch-changing skies Give        |	{ me }
307    |	         these ch-changing skies Give me          |	{ something }
308    |	       ch-changing skies Give me something        |	{ that }
309    |	          skies Give me something that            |	{ I }
310    |	            Give me something that I              |	{ Can }
311    |	             me something that I Can              |	{ wrestle }
312    |	          something that I Can wrestle            |	{ to }
313    |	              that I Can wrestle to               |	{ the }
314    |	              I Can wrestle to the                |	{ ground }
315    |	            Can wrestle to the ground             |	{ There }
316    |	           wrestle to the ground There            |	{ isnt }
317    |	            to the ground There isnt              |	{ anything }
318    |	         the ground There isnt anything           |	{ that }
319    |	         ground There isnt anything that          |	{ I }
320    |	           There isnt anything that I             |	{ can't }
321    |	           isnt anything that I can't             |	{ handle }
322    |	          anything that I can't handle            |	{ now. }
323    |	            that I can't handle now.              |	{ We're }
324    |	            I can't handle now. We're             |	{ out }
325    |	           can't handle now. We're out            |	{ Believe }
326    |	          handle now. We're out Believe           |	{ me }
327    |	            now. We're out Believe me             |	{ when }
328    |	            We're out Believe me when             |	{ I }
329    |	              out Believe me when I               |	{ say }
330    |	              Believe me when I say               |	{ That }
331    |	               me when I say That                 |	{ I }
332    |	                when I say That I                 |	{ Will }
333    |	                I say That I Will                 |	{ Be }
334    |	               say That I Will Be                 |	{ Okay }
335    |	               That I Will Be Okay                |	{ And }
336    |	               I Will Be Okay And                 |	{ listen }
337    |	             Will Be Okay And listen              |	{ that's }
338    |	            Be Okay And listen that's             |	{ advised }
339    |	         Okay And listen that's advised           |	{ and }
340    |	          And listen that's advised and           |	{ my }
341    |	          listen that's advised and my            |	{ Ch-Changing }
342    |	        that's advised and my Ch-Changing         |	{ skies }
343    |	        advised and my Ch-Changing skies          |	{ Changing }
344    |	        and my Ch-Changing skies Changing         |	{ skies }
345    |	       my Ch-Changing skies Changing skies        |	{ Ch-ch-ch-changing }
346    |	Ch-Changing skies Changing skies Ch-ch-ch-changing |	{ Changing }
347    |	 skies Changing skies Ch-ch-ch-changing Changing  |	{ skies }
348    |	 Changing skies Ch-ch-ch-changing Changing skies  |	{ Ch-ch-ch-changing , Changing }
349    |	skies Ch-ch-ch-changing Changing skies Ch-ch-ch-changing    |	{ Changing }
350    |	Ch-ch-ch-changing Changing skies Ch-ch-ch-changing Changing      |	{ skies }
351    |	 skies Ch-ch-ch-changing Changing skies Changing  |	{ skies }
352    |	 Ch-ch-ch-changing Changing skies Changing skies  |	{ Changing }
353    |	     Changing skies Changing skies Changing       |	{ skies }
354    |	       skies Changing skies Changing skies        |	{ Ch-ch-ch-changing }
355    |	 Changing skies Changing skies Ch-ch-ch-changing  |	{ Ooh }
356    |	   skies Changing skies Ch-ch-ch-changing Ooh     |	{ ooh }
357    |	    Changing skies Ch-ch-ch-changing Ooh ooh      |	{ ohh }
358    |	       skies Ch-ch-ch-changing Ooh ooh ohh        |	{ oh }
359    |	        Ch-ch-ch-changing Ooh ooh ohh oh          |	{ oh }
360    |	             ohh oh oh oh Silicone,               |	{ saline, }
361    |	           oh oh oh Silicone, saline,             |	{ poison, }
362    |	         oh oh Silicone, saline, poison,          |	{ inject }
363    |	       oh Silicone, saline, poison, inject        |	{ me, }
364    |	      Silicone, saline, poison, inject me,        |	{ baby }
365    |	         saline, poison, inject me, baby          |	{ I'm }
366    |	           poison, inject me, baby I'm            |	{ a }
367    |	              inject me, baby I'm a               |	{ free }
368    |	               me, baby I'm a free                |	{ bitch }
369    |	              baby I'm a free bitch               |	{ I'm }
370    |	              I'm a free bitch I'm                |	{ a }
371    |	               a free bitch I'm a                 |	{ free }
372    |	              free bitch I'm a free               |	{ bitch }
373    |	             bitch I'm a free bitch               |	{ Some }
374    |	              I'm a free bitch Some               |	{ girls }
375    |	             a free bitch Some girls              |	{ won't }
376    |	           free bitch Some girls won't            |	{ dance }
377    |	          bitch Some girls won't dance            |	{ to }
378    |	            Some girls won't dance to             |	{ the }
379    |	            girls won't dance to the              |	{ beat }
380    |	             won't dance to the beat              |	{ of }
381    |	              dance to the beat of                |	{ the }
382    |	               to the beat of the                 |	{ track }
383    |	              the beat of the track               |	{ She }
384    |	              beat of the track She               |	{ won't }
385    |	             of the track She won't               |	{ walk }
386    |	            the track She won't walk              |	{ away, }
387    |	           track She won't walk away,             |	{ but }
388    |	            She won't walk away, but              |	{ she }
389    |	            won't walk away, but she              |	{ won't }
390    |	            walk away, but she won't              |	{ look }
391    |	            away, but she won't look              |	{ back }
392    |	             but she won't look back              |	{ She }
393    |	             she won't look back She              |	{ looks }
394    |	            won't look back She looks             |	{ good, }
395    |	            look back She looks good,             |	{ but }
396    |	            back She looks good, but              |	{ her }
397    |	             She looks good, but her              |	{ boyfriend , boyfriend }
398    |	          looks good, but her boyfriend           |	{ says , says }
399    |	          good, but her boyfriend says            |	{ she's , she's }
400    |	          but her boyfriend says she's            |	{ a , a }
401    |	           her boyfriend says she's a             |	{ mess , tramp }
402    |	           boyfriend says she's a mess            |	{ She's }
403    |	             says she's a mess She's              |	{ a }
404    |	              she's a mess She's a                |	{ mess, }
405    |	              a mess She's a mess,                |	{ she's }
406    |	            mess She's a mess, she's              |	{ a }
407    |	              She's a mess, she's a               |	{ mess, , mess, }
408    |	              a mess, she's a mess,               |	{ now , she's , she's }
409    |	             mess, she's a mess, now              |	{ the }
410    |	              she's a mess, now the               |	{ girl }
411    |	              a mess, now the girl                |	{ is }
412    |	              mess, now the girl is               |	{ stressed }
413    |	            now the girl is stressed              |	{ She's }
414    |	           the girl is stressed She's             |	{ a }
415    |	            girl is stressed She's a              |	{ mess, }
416    |	            is stressed She's a mess,             |	{ she's }
417    |	          stressed She's a mess, she's            |	{ a }
418    |	            mess, she's a mess, she's             |	{ a , a }
419    |	              she's a mess, she's a               |	{ mess, , mess }
420    |	              a mess, she's a mess                |	{ Baby }
421    |	             mess, she's a mess Baby              |	{ loves }
422    |	             she's a mess Baby loves              |	{ to }
423    |	              a mess Baby loves to                |	{ dance }
424    |	            mess Baby loves to dance              |	{ in }
425    |	             Baby loves to dance in               |	{ the , the , the , the , the , the , the , the , the }
426    |	              loves to dance in the               |	{ dark , dark , dark , dark , dark , dark , dark , dark , dark , dark , dark , dark, , dark , dark }
427    |	              to dance in the dark                |	{ 'Cause , Baby , 'Cause , Run, , 'Cause , Baby , 'Cause , In , In , Marilyn, , 'Cause , 'Cause , In }
428    |	            dance in the dark 'Cause              |	{ when , when , when , when , when , when }
429    |	             in the dark 'Cause when              |	{ he's , he's , he's , he's , he's , he's }
430    |	            the dark 'Cause when he's             |	{ lookin' , lookin' , lookin' , lookin' , lookin' , lookin' }
431    |	          dark 'Cause when he's lookin'           |	{ she , she , she , she , she , she }
432    |	          'Cause when he's lookin' she            |	{ falls , falls , falls , falls , falls , falls }
433    |	           when he's lookin' she falls            |	{ apart , apart , apart , apart , apart , apart }
434    |	          he's lookin' she falls apart            |	{ Baby , Baby , Baby , Baby , Baby , Baby }
435    |	          lookin' she falls apart Baby            |	{ loves , loves , loves , loves , loves , loves }
436    |	           she falls apart Baby loves             |	{ to , to , to , to , to , to }
437    |	            falls apart Baby loves to             |	{ dance , dance, , dance , dance, , dance , dance, }
438    |	            apart Baby loves to dance             |	{ in , in , in }
439    |	             dance in the dark Baby               |	{ loves , loves , loves }
440    |	             in the dark Baby loves               |	{ to , to , to }
441    |	             the dark Baby loves to               |	{ dance , dance , dance }
442    |	            dark Baby loves to dance              |	{ in , in , in }
443    |	           apart Baby loves to dance,             |	{ loves , loves , loves }
444    |	           Baby loves to dance, loves             |	{ to , to , to }
445    |	            loves to dance, loves to              |	{ dance , dance , dance }
446    |	            to dance, loves to dance              |	{ in , in , in }
447    |	            dance, loves to dance in              |	{ the , the , the }
448    |	             dance in the dark Run,               |	{ run }
449    |	              in the dark Run, run                |	{ her }
450    |	              the dark Run, run her               |	{ kiss }
451    |	             dark Run, run her kiss               |	{ is }
452    |	              Run, run her kiss is                |	{ a }
453    |	                run her kiss is a                 |	{ vampire }
454    |	              her kiss is a vampire               |	{ grin }
455    |	             kiss is a vampire grin               |	{ The }
456    |	              is a vampire grin The               |	{ moon }
457    |	             a vampire grin The moon              |	{ lights }
458    |	          vampire grin The moon lights            |	{ away }
459    |	            grin The moon lights away             |	{ while }
460    |	           The moon lights away while             |	{ she's }
461    |	          moon lights away while she's            |	{ howlin' }
462    |	         lights away while she's howlin'          |	{ at }
463    |	           away while she's howlin' at            |	{ him }
464    |	           while she's howlin' at him             |	{ She }
465    |	            she's howlin' at him She              |	{ looks }
466    |	            howlin' at him She looks              |	{ good, }
467    |	             at him She looks good,               |	{ but }
468    |	             him She looks good, but              |	{ her }
469    |	          boyfriend says she's a tramp            |	{ She's }
470    |	            says she's a tramp She's              |	{ a }
471    |	              she's a tramp She's a               |	{ tramp, }
472    |	             a tramp She's a tramp,               |	{ she's }
473    |	           tramp She's a tramp, she's             |	{ a }
474    |	             She's a tramp, she's a               |	{ vamp, , vamp, }
475    |	             a tramp, she's a vamp,               |	{ but , but }
476    |	            tramp, she's a vamp, but              |	{ she , she }
477    |	              she's a vamp, but she               |	{ still , still }
478    |	              a vamp, but she still               |	{ does , kills }
479    |	            vamp, but she still does              |	{ her }
480    |	             but she still does her               |	{ dance }
481    |	            she still does her dance              |	{ She's }
482    |	           still does her dance She's             |	{ a }
483    |	             does her dance She's a               |	{ tramp, }
484    |	            her dance She's a tramp,              |	{ she's }
485    |	           dance She's a tramp, she's             |	{ a }
486    |	            vamp, but she still kills             |	{ the }
487    |	             but she still kills the              |	{ dance }
488    |	            she still kills the dance             |	{ Baby }
489    |	           still kills the dance Baby             |	{ loves }
490    |	           kills the dance Baby loves             |	{ to }
491    |	             the dance Baby loves to              |	{ dance }
492    |	            dance Baby loves to dance             |	{ in }
493    |	              dance in the dark In                |	{ the , the , the }
494    |	               in the dark In the                 |	{ dark, , dark, , dark }
495    |	              the dark In the dark,               |	{ she , she }
496    |	              dark In the dark, she               |	{ loves , loves, }
497    |	             In the dark, she loves               |	{ to }
498    |	             the dark, she loves to               |	{ dance }
499    |	            dark, she loves to dance              |	{ in }
500    |	              she loves to dance in               |	{ the , the }
501    |	             In the dark, she loves,              |	{ she }
502    |	            the dark, she loves, she              |	{ loves }
503    |	           dark, she loves, she loves             |	{ to }
504    |	             she loves, she loves to              |	{ dance }
505    |	            loves, she loves to dance             |	{ in }
506    |	           dance in the dark Marilyn,             |	{ Judy, }
507    |	           in the dark Marilyn, Judy,             |	{ Sylvia, }
508    |	         the dark Marilyn, Judy, Sylvia,          |	{ tell }
509    |	        dark Marilyn, Judy, Sylvia, tell          |	{ 'em }
510    |	         Marilyn, Judy, Sylvia, tell 'em          |	{ how }
511    |	           Judy, Sylvia, tell 'em how             |	{ you }
512    |	            Sylvia, tell 'em how you              |	{ feel, }
513    |	             tell 'em how you feel,               |	{ girls }
514    |	             'em how you feel, girls              |	{ Work }
515    |	            how you feel, girls Work              |	{ your }
516    |	            you feel, girls Work your             |	{ blond, }
517    |	          feel, girls Work your blond,            |	{ Benet }
518    |	          girls Work your blond, Benet            |	{ Ramsey }
519    |	          Work your blond, Benet Ramsey           |	{ will }
520    |	          your blond, Benet Ramsey will           |	{ haunt }
521    |	         blond, Benet Ramsey will haunt           |	{ like }
522    |	          Benet Ramsey will haunt like            |	{ Liberace }
523    |	         Ramsey will haunt like Liberace          |	{ Find }
524    |	          will haunt like Liberace Find           |	{ your }
525    |	          haunt like Liberace Find your           |	{ freedom }
526    |	         like Liberace Find your freedom          |	{ in }
527    |	          Liberace Find your freedom in           |	{ the }
528    |	            Find your freedom in the              |	{ music }
529    |	            your freedom in the music             |	{ Find }
530    |	            freedom in the music Find             |	{ your }
531    |	             in the music Find your               |	{ Jesus, }
532    |	           the music Find your Jesus,             |	{ find }
533    |	           music Find your Jesus, find            |	{ your }
534    |	           Find your Jesus, find your             |	{ Kubrick }
535    |	          your Jesus, find your Kubrick           |	{ You }
536    |	          Jesus, find your Kubrick You            |	{ will }
537    |	           find your Kubrick You will             |	{ never }
538    |	           your Kubrick You will never            |	{ fall }
539    |	           Kubrick You will never fall            |	{ apart }
540    |	            You will never fall apart             |	{ Diana }
541    |	           will never fall apart Diana            |	{ you're }
542    |	          never fall apart Diana you're           |	{ still }
543    |	          fall apart Diana you're still           |	{ in }
544    |	           apart Diana you're still in            |	{ our }
545    |	            Diana you're still in our             |	{ hearts }
546    |	           you're still in our hearts             |	{ Never }
547    |	            still in our hearts Never             |	{ let }
548    |	             in our hearts Never let              |	{ you }
549    |	            our hearts Never let you              |	{ fall }
550    |	            hearts Never let you fall             |	{ apart }
551    |	            Never let you fall apart              |	{ Together }
552    |	           let you fall apart Together            |	{ we'll }
553    |	          you fall apart Together we'll           |	{ dance }
554    |	         fall apart Together we'll dance          |	{ in }
555    |	          apart Together we'll dance in           |	{ the }
556    |	           Together we'll dance in the            |	{ dark }
557    |	             we'll dance in the dark              |	{ Baby }
558    |	              to dance in the dark,               |	{ baby }
559    |	             dance in the dark, baby              |	{ Baby }
560    |	             in the dark, baby Baby               |	{ loves }
561    |	            the dark, baby Baby loves             |	{ to }
562    |	            dark, baby Baby loves to              |	{ dance }
563    |	            baby Baby loves to dance              |	{ in }
564    |	              the dark In the dark                |	{ Oh, }
565    |	              dark In the dark Oh,                |	{ the }
566    |	               In the dark Oh, the                |	{ disco }
567    |	             the dark Oh, the disco               |	{ heaven }
568    |	            dark Oh, the disco heaven             |	{ Oh, }
569    |	            Oh, the disco heaven Oh,              |	{ the }
570    |	            the disco heaven Oh, the              |	{ disco }
571    |	           disco heaven Oh, the disco             |	{ heaven }
572    |	           heaven Oh, the disco heaven            |	{ Get }
573    |	            Oh, the disco heaven Get              |	{ back, }
574    |	           the disco heaven Get back,             |	{ bunny }
